air_temp,cloud_opacity,dewpoint_temp,dni,ghi,gti,precipitable_water,relative_humidity,wind_direction_100m,wind_speed_100m,wind_speed_10m,period_end,period
13,88,9.2,0,0,0,17.6,76.3,144,4.8,2.6,2023-07-01T00:05:00-05:00,PT5M
13,87.4,9.1,0,0,0,17.6,76.4,144,4.8,2.7,2023-07-01T00:10:00-05:00,PT5M
13,87.4,9,0,0,0,17.6,76.6,144,4.9,2.7,2023-07-01T00:15:00-05:00,PT5M
13,87.4,8.9,0,0,0,17.5,76.7,144,4.9,2.7,2023-07-01T00:20:00-05:00,PT5M
13,87.4,8.8,0,0,0,17.5,76.9,144,4.9,2.7,2023-07-01T00:25:00-05:00,PT5M
13,87.4,8.7,0,0,0,17.5,77.1,144,4.9,2.7,2023-07-01T00:30:00-05:00,PT5M
13,87.4,8.6,0,0,0,17.5,77.2,144,5,2.7,2023-07-01T00:35:00-05:00,PT5M
12,87.4,8.5,0,0,0,17.5,77.4,144,5,2.7,2023-07-01T00:40:00-05:00,PT5M
12,86.9,8.4,0,0,0,17.5,77.5,144,5,2.7,2023-07-01T00:45:00-05:00,PT5M
12,86.9,8.3,0,0,0,17.5,77.7,144,5,2.8,2023-07-01T00:50:00-05:00,PT5M
12,86.3,8.2,0,0,0,17.4,77.8,144,5,2.8,2023-07-01T00:55:00-05:00,PT5M
12,85.7,8.1,0,0,0,17.4,78,144,5.1,2.8,2023-07-01T01:00:00-05:00,PT5M
12,85.7,8.1,0,0,0,17.4,78.1,144,5.1,2.8,2023-07-01T01:05:00-05:00,PT5M
12,85.7,8.1,0,0,0,17.4,78.1,144,5.1,2.8,2023-07-01T01:10:00-05:00,PT5M
12,86.3,8.1,0,0,0,17.4,78.2,144,5,2.8,2023-07-01T01:15:00-05:00,PT5M
12,86.3,8.1,0,0,0,17.3,78.2,144,5,2.7,2023-07-01T01:20:00-05:00,PT5M
12,85.7,8.1,0,0,0,17.3,78.3,144,5,2.7,2023-07-01T01:25:00-05:00,PT5M
12,85.7,8.1,0,0,0,17.3,78.3,144,5,2.7,2023-07-01T01:30:00-05:00,PT5M
12,85.7,8.2,0,0,0,17.3,78.4,144,5,2.7,2023-07-01T01:35:00-05:00,PT5M
12,85.1,8.2,0,0,0,17.2,78.4,145,5,2.7,2023-07-01T01:40:00-05:00,PT5M
12,85.1,8.2,0,0,0,17.2,78.4,145,4.9,2.7,2023-07-01T01:45:00-05:00,PT5M
12,84.4,8.2,0,0,0,17.2,78.5,145,4.9,2.7,2023-07-01T01:50:00-05:00,PT5M
12,83.1,8.2,0,0,0,17.2,78.5,145,4.9,2.7,2023-07-01T01:55:00-05:00,PT5M
12,79.5,8.2,0,0,0,17.1,78.6,145,4.9,2.6,2023-07-01T02:00:00-05:00,PT5M
12,71.2,8.2,0,0,0,17.1,78.6,145,4.9,2.6,2023-07-01T02:05:00-05:00,PT5M
12,65.4,8.2,0,0,0,17.1,78.7,145,4.9,2.7,2023-07-01T02:10:00-05:00,PT5M
12,69.3,8.2,0,0,0,17,78.8,145,4.9,2.7,2023-07-01T02:15:00-05:00,PT5M
12,73,8.1,0,0,0,17,78.9,145,4.9,2.7,2023-07-01T02:20:00-05:00,PT5M
12,73.8,8.1,0,0,0,17,79,145,4.9,2.7,2023-07-01T02:25:00-05:00,PT5M
12,72.1,8.1,0,0,0,16.9,79.1,145,4.9,2.7,2023-07-01T02:30:00-05:00,PT5M
12,65.4,8.1,0,0,0,16.9,79.1,145,4.9,2.7,2023-07-01T02:35:00-05:00,PT5M
12,65.4,8.1,0,0,0,16.9,79.2,145,4.9,2.7,2023-07-01T02:40:00-05:00,PT5M
12,66.4,8.1,0,0,0,16.8,79.3,145,4.9,2.7,2023-07-01T02:45:00-05:00,PT5M
12,62.3,8,0,0,0,16.8,79.4,146,4.9,2.7,2023-07-01T02:50:00-05:00,PT5M
12,56.7,8,0,0,0,16.8,79.5,146,5,2.7,2023-07-01T02:55:00-05:00,PT5M
11,53.2,8,0,0,0,16.7,79.6,146,5,2.7,2023-07-01T03:00:00-05:00,PT5M
11,61.2,8,0,0,0,16.7,79.7,146,5,2.7,2023-07-01T03:05:00-05:00,PT5M
11,69.3,8.1,0,0,0,16.7,79.9,145,5,2.7,2023-07-01T03:10:00-05:00,PT5M
11,76.4,8.1,0,0,0,16.7,80.1,145,5,2.7,2023-07-01T03:15:00-05:00,PT5M
11,79.5,8.1,0,0,0,16.7,80.2,145,5,2.7,2023-07-01T03:20:00-05:00,PT5M
11,80.3,8.2,0,0,0,16.7,80.4,145,5,2.7,2023-07-01T03:25:00-05:00,PT5M
11,78,8.2,0,0,0,16.7,80.6,145,5,2.7,2023-07-01T03:30:00-05:00,PT5M
12,77.2,8.3,0,0,0,16.7,80.8,145,5,2.6,2023-07-01T03:35:00-05:00,PT5M
12,75.5,8.3,0,0,0,16.7,81,145,4.9,2.6,2023-07-01T03:40:00-05:00,PT5M
12,73.8,8.4,0,0,0,16.7,81.2,145,4.9,2.6,2023-07-01T03:45:00-05:00,PT5M
12,76.4,8.4,0,0,0,16.7,81.4,144,4.9,2.6,2023-07-01T03:50:00-05:00,PT5M
12,73.8,8.4,0,0,0,16.7,81.5,144,4.9,2.6,2023-07-01T03:55:00-05:00,PT5M
12,73,8.5,0,0,0,16.7,81.7,144,4.9,2.6,2023-07-01T04:00:00-05:00,PT5M
12,73.8,8.5,0,0,0,16.6,82.1,144,4.9,2.6,2023-07-01T04:05:00-05:00,PT5M
12,71.2,8.6,0,0,0,16.6,82.6,144,4.9,2.5,2023-07-01T04:10:00-05:00,PT5M
12,68.3,8.7,0,0,0,16.6,83.1,144,4.9,2.5,2023-07-01T04:15:00-05:00,PT5M
11,69.3,8.8,0,0,0,16.5,83.6,144,4.8,2.5,2023-07-01T04:20:00-05:00,PT5M
11,71.2,8.8,0,0,0,16.5,84.1,143,4.8,2.5,2023-07-01T04:25:00-05:00,PT5M
11,72.1,8.9,0,0,0,16.4,84.6,143,4.8,2.4,2023-07-01T04:30:00-05:00,PT5M
11,72.1,9,0,0,0,16.4,85.2,143,4.7,2.4,2023-07-01T04:35:00-05:00,PT5M
11,73,9.1,0,0,0,16.4,85.7,143,4.7,2.4,2023-07-01T04:40:00-05:00,PT5M
11,70.2,9.1,0,0,0,16.3,86.2,143,4.7,2.4,2023-07-01T04:45:00-05:00,PT5M
11,72.1,9.2,0,0,0,16.3,86.8,143,4.6,2.3,2023-07-01T04:50:00-05:00,PT5M
11,74.7,9.3,0,0,0,16.2,87.3,142,4.6,2.3,2023-07-01T04:55:00-05:00,PT5M
11,76.4,9.4,0,0,0,16.2,87.8,142,4.6,2.3,2023-07-01T05:00:00-05:00,PT5M
11,76.4,9.4,0,0,0,16.2,88.1,142,4.6,2.3,2023-07-01T05:05:00-05:00,PT5M
11,77.2,9.4,0,0,0,16.2,88,142,4.6,2.3,2023-07-01T05:10:00-05:00,PT5M
11,74.7,9.4,0,0,0,16.2,88,142,4.6,2.3,2023-07-01T05:15:00-05:00,PT5M
11,76.4,9.4,0,0,0,16.3,87.9,142,4.6,2.3,2023-07-01T05:20:00-05:00,PT5M
11,73.8,9.4,0,0,0,16.3,87.9,142,4.6,2.4,2023-07-01T05:25:00-05:00,PT5M
11,74.7,9.4,0,0,0,16.3,87.8,142,4.7,2.4,2023-07-01T05:30:00-05:00,PT5M
11,74.7,9.4,0,0,0,16.3,87.8,142,4.7,2.4,2023-07-01T05:35:00-05:00,PT5M
11,73.8,9.4,0,0,0,16.3,87.7,142,4.7,2.4,2023-07-01T05:40:00-05:00,PT5M
11,69.3,9.4,0,0,0,16.3,87.7,143,4.7,2.4,2023-07-01T05:45:00-05:00,PT5M
11,63.3,9.4,0,0,0,16.4,87.6,143,4.7,2.4,2023-07-01T05:50:00-05:00,PT5M
11,65.4,9.4,0,0,0,16.4,87.6,143,4.8,2.5,2023-07-01T05:55:00-05:00,PT5M
11,62.3,9.4,0,0,0,16.4,87.5,143,4.8,2.5,2023-07-01T06:00:00-05:00,PT5M
11,62.3,9.4,0,0,0,16.4,87.4,143,4.8,2.5,2023-07-01T06:05:00-05:00,PT5M
12,60.1,9.4,0,0,0,16.5,87.2,142,4.8,2.5,2023-07-01T06:10:00-05:00,PT5M
12,54.4,9.4,0,2,2,16.5,87,142,4.8,2.5,2023-07-01T06:15:00-05:00,PT5M
12,52,9.5,0,7,7,16.5,86.8,142,4.8,2.6,2023-07-01T06:20:00-05:00,PT5M
12,64.3,9.5,0,10,10,16.5,86.7,142,4.8,2.6,2023-07-01T06:25:00-05:00,PT5M
12,72.1,9.5,0,12,11,16.6,86.5,142,4.8,2.6,2023-07-01T06:30:00-05:00,PT5M
12,48.4,9.5,0,29,29,16.6,86.3,142,4.8,2.6,2023-07-01T06:35:00-05:00,PT5M
12,49.6,9.5,0,37,36,16.6,86.1,142,4.8,2.7,2023-07-01T06:40:00-05:00,PT5M
12,64.3,9.5,0,32,32,16.6,85.9,141,4.8,2.7,2023-07-01T06:45:00-05:00,PT5M
12,63.6,9.6,0,39,39,16.7,85.7,141,4.8,2.7,2023-07-01T06:50:00-05:00,PT5M
12,54.9,9.6,0,57,56,16.7,85.5,141,4.8,2.7,2023-07-01T06:55:00-05:00,PT5M
12,52.7,9.6,0,69,68,16.7,85.3,141,4.8,2.8,2023-07-01T07:00:00-05:00,PT5M
12,49.2,9.6,0,84,82,16.7,85.2,141,4.8,2.8,2023-07-01T07:05:00-05:00,PT5M
12,43.1,9.6,0,106,102,16.7,85,141,4.8,2.8,2023-07-01T07:10:00-05:00,PT5M
12,42.1,9.7,0,119,114,16.7,84.9,141,4.8,2.8,2023-07-01T07:15:00-05:00,PT5M
12,39,9.7,0,138,130,16.7,84.8,141,4.7,2.8,2023-07-01T07:20:00-05:00,PT5M
12,42.3,9.7,0,142,132,16.7,84.6,141,4.7,2.8,2023-07-01T07:25:00-05:00,PT5M
12,44.2,9.7,0,149,136,16.7,84.5,141,4.7,2.9,2023-07-01T07:30:00-05:00,PT5M
12,43.5,9.8,0,162,145,16.6,84.4,141,4.7,2.9,2023-07-01T07:35:00-05:00,PT5M
12,42.7,9.8,0,176,153,16.6,84.2,142,4.7,2.9,2023-07-01T07:40:00-05:00,PT5M
12,46.9,9.8,0,174,143,16.6,84.1,142,4.7,2.9,2023-07-01T07:45:00-05:00,PT5M
13,47.3,9.8,0,183,138,16.6,84,142,4.7,2.9,2023-07-01T07:50:00-05:00,PT5M
13,48.9,9.9,0,188,142,16.6,83.8,142,4.7,3,2023-07-01T07:55:00-05:00,PT5M
13,48.1,9.9,0,201,154,16.6,83.7,142,4.7,3,2023-07-01T08:00:00-05:00,PT5M
13,46.4,9.9,0,219,169,16.6,83.3,142,4.7,3,2023-07-01T08:05:00-05:00,PT5M
13,43.8,10,0,241,188,16.5,82.7,142,4.7,3,2023-07-01T08:10:00-05:00,PT5M
13,37.5,10,35,280,243,16.5,82.1,142,4.7,3,2023-07-01T08:15:00-05:00,PT5M
13,39.6,10,8,282,228,16.5,81.4,142,4.7,3,2023-07-01T08:20:00-05:00,PT5M
13,44,10,0,272,219,16.5,80.8,142,4.7,3,2023-07-01T08:25:00-05:00,PT5M
13,59,10.1,0,207,168,16.5,80.2,142,4.7,3,2023-07-01T08:30:00-05:00,PT5M
14,59.7,10.1,0,211,173,16.4,79.6,142,4.7,3,2023-07-01T08:35:00-05:00,PT5M
14,63.5,10.2,0,198,164,16.4,79,142,4.7,3,2023-07-01T08:40:00-05:00,PT5M
14,58,10.2,0,236,197,16.4,78.4,142,4.7,3,2023-07-01T08:45:00-05:00,PT5M
14,53.4,10.2,0,270,227,16.4,77.8,142,4.7,3,2023-07-01T08:50:00-05:00,PT5M
14,51.9,10.2,0,287,244,16.4,77.3,142,4.7,3.1,2023-07-01T08:55:00-05:00,PT5M
14,51.5,10.3,0,298,255,16.3,76.7,142,4.7,3.1,2023-07-01T09:00:00-05:00,PT5M
14,49,10.3,0,322,278,16.3,76.4,142,4.7,3.1,2023-07-01T09:05:00-05:00,PT5M
15,49.7,10.4,0,326,284,16.3,76.3,142,4.7,3.1,2023-07-01T09:10:00-05:00,PT5M
15,53.4,10.4,0,310,271,16.3,76.2,141,4.7,3.1,2023-07-01T09:15:00-05:00,PT5M
15,58.1,10.4,0,286,252,16.2,76.1,141,4.7,3.1,2023-07-01T09:20:00-05:00,PT5M
